Symbol,Date,Expiry,Strike,Type,Bid,Ask,Last,Volume,OpenInterest,UnderlyingPrice,IV,Moneyness,LogMoneyness,MidPrice,BidAskSpread,DaysToExpiry,TimeToExpiry
AMZN,2025-08-14,2025-08-15,85.0,C,146.8,147.0,144.8,2.0,126,231.35,6.703126621093751,2.721764705882353,1.001280458862692,146.9,0.19999999999998863,1,0.0027378507871321013
AMZN,2025-08-14,2025-08-15,90.0,C,141.65,142.5,131.25,35.0,50,231.35,6.6406266992187515,2.5705555555555555,0.9441220450227436,142.075,0.8499999999999943,1,0.0027378507871321013
AMZN,2025-08-14,2025-08-15,95.0,C,136.7,137.5,124.77,2.0,81,231.35,6.326173967285157,2.435263157894737,0.8900548237524677,137.1,0.8000000000000114,1,0.0027378507871321013
AMZN,2025-08-14,2025-08-15,100.0,C,131.1,132.1,123.3,5.0,617,231.35,5.070316162109375,2.3135,0.8387615293649172,131.6,1.0,1,0.0027378507871321013
AMZN,2025-08-14,2025-08-15,105.0,C,126.15,127.55,124.65,3.0,50,231.35,5.312503359374999,2.203333333333333,0.7899713651954852,126.85,1.3999999999999915,1,0.0027378507871321013
AMZN,2025-08-14,2025-08-15,110.0,C,121.1,122.45,120.09,1.0,36,231.35,4.902347622070312,2.103181818181818,0.7434513495605923,121.775,1.3500000000000085,1,0.0027378507871321013
AMZN,2025-08-14,2025-08-15,115.0,C,116.15,117.2,109.82,2.0,51,231.35,4.45312943359375,2.0117391304347825,0.6989995869897585,116.67500000000001,1.0499999999999972,1,0.0027378507871321013
AMZN,2025-08-14,2025-08-15,120.0,C,111.8,112.05,101.3,1.0,706,231.35,4.597660502929687,1.9279166666666667,0.6564399725709626,111.925,0.25,1,0.0027378507871321013
AMZN,2025-08-14,2025-08-15,125.0,C,106.85,107.15,107.87,10.0,139,231.35,4.433598208007812,1.8508,0.6156179780507075,107.0,0.30000000000001137,1,0.0027378507871321013
AMZN,2025-08-14,2025-08-15,130.0,C,101.8,102.05,101.9,5.0,583,231.35,4.097661127929687,1.7796153846153846,0.5763972648974262,101.925,0.25,1,0.0027378507871321013
AMZN,2025-08-14,2025-08-15,135.0,C,96.8,97.05,97.62,9.0,146,231.35,3.8593753515625,1.7137037037037037,0.5386569369145792,96.925,0.25,1,0.0027378507871321013
AMZN,2025-08-14,2025-08-15,140.0,C,91.8,92.05,85.03,1.0,388,231.35,3.630860297851563,1.6524999999999999,0.5022892927437043,91.925,0.25,1,0.0027378507871321013
AMZN,2025-08-14,2025-08-15,145.0,C,86.45,87.0,87.28,1.0,440,231.35,3.1738301904296877,1.5955172413793104,0.4671979729324342,86.725,0.5499999999999972,1,0.0027378507871321013
AMZN,2025-08-14,2025-08-15,150.0,C,81.8,82.05,82.47,49.0,4470,231.35,3.193361391601562,1.5423333333333333,0.43329642125675283,81.925,0.25,1,0.0027378507871321013
AMZN,2025-08-14,2025-08-15,155.0,C,76.25,77.05,76.05,4.0,347,231.35,2.6757845605468753,1.4925806451612902,0.4005065984337619,76.65,0.7999999999999972,1,0.0027378507871321013
AMZN,2025-08-14,2025-08-15,160.0,C,71.8,72.1,70.7,69.0,3694,231.35,2.8027373681640624,1.4459374999999999,0.3687579001191816,71.94999999999999,0.29999999999999716,1,0.0027378507871321013
AMZN,2025-08-14,2025-08-15,165.0,C,66.8,67.1,64.6,2.0,684,231.35,2.602542556152343,1.402121212121212,0.33798624145242795,66.94999999999999,0.29999999999999716,1,0.0027378507871321013
AMZN,2025-08-14,2025-08-15,170.0,C,61.75,62.0,62.2,18.0,1659,231.35,2.3476603808593746,1.3608823529411764,0.3081332783027468,61.875,0.25,1,0.0027378507871321013
AMZN,2025-08-14,2025-08-15,175.0,C,56.8,57.05,56.94,676.0,3174,231.35,2.198246691894531,1.322,0.2791457414294946,56.925,0.25,1,0.0027378507871321013
AMZN,2025-08-14,2025-08-15,180.0,C,51.8,52.05,52.84,234.0,16118,231.35,2.0117237207031247,1.2852777777777777,0.2509748644627982,51.925,0.25,1,0.0027378507871321013
