Symbol,Date,Expiry,Strike,Type,Bid,Ask,Last,Volume,OpenInterest,UnderlyingPrice,IV,Moneyness,LogMoneyness,MidPrice,BidAskSpread,DaysToExpiry,TimeToExpiry
MSFT,2025-08-14,2025-08-15,180.0,C,340.1,342.8,344.55,2.0,3,521.7,6.9667981665039065,2.8983333333333334,1.0641358591381367,341.45000000000005,2.6999999999999886,1,0.0027378507871321013
MSFT,2025-08-14,2025-08-15,185.0,C,253.7,256.4,186.0,,10,521.7,1.0000000000000004e-05,2.8200000000000003,1.0367368849500223,255.04999999999998,2.6999999999999886,1,0.0027378507871321013
MSFT,2025-08-14,2025-08-15,195.0,C,281.7,285.5,263.8,,1,521.7,1.0000000000000004e-05,2.6753846153846155,0.9840931514646003,283.6,3.8000000000000114,1,0.0027378507871321013
MSFT,2025-08-14,2025-08-15,200.0,C,320.75,322.3,330.25,2.0,30,521.7,5.792971508789062,2.6085000000000003,0.9587753434803105,321.525,1.5500000000000114,1,0.0027378507871321013
MSFT,2025-08-14,2025-08-15,210.0,C,310.0,312.85,316.95,1.0,4,521.7,6.064455544433593,2.4842857142857144,0.9099851793108784,311.425,2.8500000000000227,1,0.0027378507871321013
MSFT,2025-08-14,2025-08-15,220.0,C,300.0,302.85,310.0,6.0,2,521.7,5.779299650878906,2.3713636363636366,0.8634651636759856,301.425,2.8500000000000227,1,0.0027378507871321013
MSFT,2025-08-14,2025-08-15,225.0,C,251.8,255.75,228.0,1.0,3,521.7,1.0000000000000004e-05,2.3186666666666667,0.8409923078239269,253.775,3.9499999999999886,1,0.0027378507871321013
MSFT,2025-08-14,2025-08-15,230.0,C,290.8,292.35,294.58,2.0,35,521.7,5.060550549316406,2.2682608695652178,0.8190134011051519,291.57500000000005,1.5500000000000114,1,0.0027378507871321013
MSFT,2025-08-14,2025-08-15,235.0,C,285.0,287.35,278.23,21.0,31,521.7,4.937503828124999,2.22,0.7975071958841882,286.175,2.3500000000000227,1,0.0027378507871321013
MSFT,2025-08-14,2025-08-15,245.0,C,148.5,152.2,175.6,,29,521.7,1.0000000000000004e-05,2.129387755102041,0.75583449948362,150.35,3.6999999999999886,1,0.0027378507871321013
MSFT,2025-08-14,2025-08-15,250.0,C,270.05,272.85,277.18,1.0,83,521.7,4.994144382324218,2.0868,0.7356317921661008,271.45000000000005,2.8000000000000114,1,0.0027378507871321013
MSFT,2025-08-14,2025-08-15,255.0,C,265.05,267.7,273.3,1.0,32,521.7,4.767582165527343,2.0458823529411765,0.7158291648699209,266.375,2.6499999999999773,1,0.0027378507871321013
MSFT,2025-08-14,2025-08-15,260.0,C,260.05,262.4,259.7,1.0,47,521.7,4.408207614746093,2.0065384615384616,0.6964110790128193,261.225,2.349999999999966,1,0.0027378507871321013
MSFT,2025-08-14,2025-08-15,265.0,C,255.9,257.85,265.54,5.0,22,521.7,3.605469736328125,1.968679245283019,0.677362884042125,256.875,1.950000000000017,1,0.0027378507871321013
MSFT,2025-08-14,2025-08-15,270.0,C,250.1,252.4,252.95,1.0,27,521.7,4.191411010742188,1.9322222222222223,0.6586707510299723,251.25,2.3000000000000114,1,0.0027378507871321013
MSFT,2025-08-14,2025-08-15,275.0,C,245.05,247.4,246.35,3.0,75,521.7,4.085942392578126,1.8970909090909092,0.6403216123617758,246.22500000000002,2.3499999999999943,1,0.0027378507871321013
MSFT,2025-08-14,2025-08-15,280.0,C,239.75,242.4,250.61,5.0,48,521.7,3.9814453588867185,1.863214285714286,0.6223031068590975,241.075,2.6500000000000057,1,0.0027378507871321013
MSFT,2025-08-14,2025-08-15,285.0,C,235.05,237.6,239.38,1.0,81,521.7,4.029301838378906,1.8305263157894738,0.6046035297596966,236.325,2.549999999999983,1,0.0027378507871321013
MSFT,2025-08-14,2025-08-15,290.0,C,222.7,226.5,203.6,2.0,21,521.7,1.0000000000000004e-05,1.7989655172413794,0.5872117870478274,224.6,3.8000000000000114,1,0.0027378507871321013
MSFT,2025-08-14,2025-08-15,295.0,C,226.0,227.4,244.67,4.0,21,521.7,0.500005,1.7684745762711866,0.5701173536885273,226.7,1.4000000000000057,1,0.0027378507871321013
