Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Returns,HL_Ratio,Volume_MA,Price_MA_20,Price_MA_50,RSI,Volatility_20
2023-08-15 00:00:00-04:00,130.31845525776006,130.63653969498435,128.50929788165192,129.00631713867188,19770700,0.0,0.0,,0.01648943912603761,,,,,
2023-08-16 00:00:00-04:00,127.9327392578125,129.50332175254619,127.10769314822178,127.9327392578125,25216100,0.0,0.0,-0.008321901629866346,0.01872568834390925,,,,,
2023-08-17 00:00:00-04:00,129.02619753121616,131.2031442257864,128.5192281998199,129.14547729492188,33446300,0.0,0.0,0.009479497149400107,0.020782113955391424,,,,,
2023-08-18 00:00:00-04:00,127.74387774520072,128.47947167011137,125.6265785438241,126.70014190673828,30504800,0.0,0.0,-0.018934734993462654,0.0225168897473472,,,,,
2023-08-21 00:00:00-04:00,126.42179014262146,127.962544943202,125.80548367204307,127.60469055175781,25248700,0.0,0.0,0.007139286755379892,0.016904247499303412,,,,,
2023-08-22 00:00:00-04:00,127.74387663884217,129.50332895458752,127.5550220729981,128.31048583984375,22054900,0.0,0.0,0.005531107712687611,0.01518431536469498,,,,,
2023-08-23 00:00:00-04:00,129.40392483702382,132.61468011751114,129.09577532842894,131.58087158203125,27819700,0.0,0.0,0.02548806296524808,0.026743285302593657,,,,,
2023-08-24 00:00:00-04:00,133.15145592207938,133.44967050985613,128.79757754470495,129.00631713867188,28500700,0.0,0.0,-0.019566327631097336,0.03606097025582508,,,,,
2023-08-25 00:00:00-04:00,128.76772830539176,129.98045637287547,126.49138703186253,129.105712890625,26762900,0.0,0.0,0.0007704719749985767,0.027024902793951377,,,,,
2023-08-28 00:00:00-04:00,130.52717266697422,131.74983558444546,129.36414962335698,130.2289581298828,20543300,0.0,0.0,0.00870019779999498,0.01831916645381697,,,,,
2023-08-29 00:00:00-04:00,131.45163483185382,135.7558226409392,131.45163483185382,133.7677459716797,43075600,0.0,0.0,0.027173586371377567,0.03217657423932832,,,,,
2023-08-30 00:00:00-04:00,133.97649795243905,135.46755559265864,133.27073916338247,135.0699462890625,28315800,0.0,0.0,0.009734785526389178,0.01626428742760268,,,,,
2023-08-31 00:00:00-04:00,135.19915029723072,137.17729207084193,134.98046064717033,135.3582000732422,30053800,0.0,0.0,0.002134107490964654,0.016229762382204357,,,,,
2023-09-01 00:00:00-04:00,136.64051407411753,136.64051407411753,134.0460734534754,134.8512420654297,21543700,0.0,0.0,-0.003745306952502192,0.01923927863699848,,,,65.34441236227991,
2023-09-05 00:00:00-04:00,134.63255208309874,135.60670538678164,133.77767852375467,134.96058654785156,19403100,0.0,0.0,0.000810852616165203,0.013552303748905752,,,,65.54223921615485,
2023-09-06 00:00:00-04:00,135.20911430420693,135.7160684536214,132.87311787805362,133.65841674804688,18684500,0.0,0.0,-0.009648519120380339,0.021270269727396925,,,,64.76930028472894,
2023-09-07 00:00:00-04:00,132.79358623197456,134.7717281086327,132.1574022626096,134.45362854003906,18844300,0.0,0.0,0.005949582610208504,0.019444070601966464,,,,63.993723088607275,
2023-09-08 00:00:00-04:00,134.1057179726632,135.84528509208857,134.04607809827723,135.56695556640625,23558300,0.0,0.0,0.008280379179470332,0.01327172234778123,,,,75.1409892153796,
2023-09-11 00:00:00-04:00,135.72600503726738,136.66040361915384,134.9804761901652,136.10374450683594,20763400,0.0,0.0,0.0039595854180463075,0.012342991995376425,,,,74.61151389394577,
2023-09-12 00:00:00-04:00,135.44765552071536,136.05401950038058,134.38404240952485,134.53314208984375,18405500,0.0,0.0,-0.011539744352245251,0.012413127835373697,25125805.0,131.84726600646974,,67.16005413011425,
2023-09-13 00:00:00-04:00,134.28465165631675,136.08385883851705,133.35025307890763,135.89500427246094,20749500,0.0,0.0,0.010122875014007437,0.020115572123083424,25174745.0,132.19170036315919,,63.29659104697175,0.19495173035678218
